dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserve0,reserve1,reserveUSD
78016781.434856275659229955,620271.857852062945138248,230235457.4306964390720143428758454,2020-09-17 00:00:00,4063488.251671232728384044,36416.374218383038637901,28211560.17098808844234332255614586
43725117.992875724880005096,646212.876613584467817883,245968364.1387020264951894918816267,2020-09-18 00:00:00,3336947.859207200457092353,59602.366596643948831818,45347547.80992474442529852520587808
21549959.948055026787075521,359535.04497816976592556,137215085.2756935071148508737324525,2020-09-19 00:00:00,4705048.946216544310290384,69308.816888183342438544,53088911.27136662570754383315131106
15831385.652001473089365019,224529.49183893360160496,84117457.83722967297784160594257533,2020-09-20 00:00:00,4871853.868054340899705584,68885.389532333785576446,50835868.97038243582265432740274409
12412737.610431125659847144,163512.142813941307421101,57718155.39804646912329750878445,2020-09-21 00:00:00,5442326.763337115343898143,67987.933641747796186786,46383085.96697439608102674283884507
10830678.252666724850562214,128177.513740853755375798,43652248.05189381179914430624689776,2020-09-22 00:00:00,5675882.380269277119252258,64522.910556611679515223,44195865.32271642568941089093971856
13756812.982982029987591823,185060.899177051601168231,61945209.88093268391156049985057069,2020-09-23 00:00:00,4948080.201292684194765101,67621.084628522481006479,43127658.84842354199615562576492869
7458338.603354980517146534,109565.860662856185407512,36480522.95548837264364057633732994,2020-09-24 00:00:00,4771277.285589153044218779,69911.956778999083168845,48810658.41880180488187010855613815
5668178.841475078525100908,83965.756815447708380874,29025601.98131263371139726170955391,2020-09-25 00:00:00,5037011.294129140149690991,70266.664836511887396471,49394123.49690097837798594598119499
3887615.825253985601868057,53445.574390616141384918,18773593.53819004937896289110938318,2020-09-26 00:00:00,5010649.048084023877659739,68497.320072448884105458,48382619.08064176738721985691566335
3291753.197605212793574136,45135.37867138452255672,16010758.5225307641929922431866564,2020-09-27 00:00:00,5067123.260664878396939336,68312.700379666210216438,48486190.54857982690623112031492506
3663793.950112578390113792,46406.385017321984839896,16664231.17259889824720272545643021,2020-09-28 00:00:00,5108859.443293243895057969,61032.128196808412861673,43133014.70240131778532225361546307
2983903.490386311962573347,35550.969560033136886135,12563185.05032058235352729208569788,2020-09-29 00:00:00,4761671.231926660570762716,57603.859910172484694382,41259870.87445911618111897693157413
3180854.723185458460552885,36609.897818403409613012,12983140.59856249498379471642858486,2020-09-30 00:00:00,4958144.77204391485314689,57110.231650485995551415,40972043.93397364490390895713812273
6017753.213283879689104068,71463.754815084654291595,25334536.41605535216194584005832081,2020-10-01 00:00:00,5839348.926542290054662682,70486.080970060343286394,49495323.3731106166858726309192528
4213160.138947484908316176,48011.264130021419771714,16414392.73639945858156271269235352,2020-10-02 00:00:00,6168280.074601044683527552,69199.879219840715486534,47651316.47630716295251621145588519
2649298.086352343303617129,30032.339012987817580664,10414835.04358502632833862941289673,2020-10-03 00:00:00,6186439.126622028237905243,69353.645186277827642352,48058756.77552982101949674358836762
3241911.627947646509237146,34921.980661965325947934,12121713.93394075779380333811094034,2020-10-04 00:00:00,6295413.445439741705372877,66641.978495777482257774,46788142.18300289526820106624311462
6425710.125820835235316987,62479.854818331437754489,21909227.01965850972363567574554838,2020-10-05 00:00:00,6573853.016745871414325897,61678.959363174533710038,43409150.13247607069292594947563298
7813411.104829979123536598,67199.659950510527771726,23309297.65809530652250726419142849,2020-10-06 00:00:00,7044797.373340530308021248,56127.576975084587478107,37958937.8312605053828972032985145
8867583.300721993768910187,71453.208408700748155237,24169088.60753564924707425921793881,2020-10-07 00:00:00,7141427.21698866248911217,61803.742671604157969454,42100586.321190494383112480050125
5624690.876621171215375975,50102.52492886838347335,17222924.96258169722929208878087631,2020-10-08 00:00:00,6915761.971431582213032006,66471.965054485653631453,46544257.99361767288771588829748964
6147904.833937838496509336,57939.564810693949916062,20793167.28574236001921083885041631,2020-10-09 00:00:00,7800630.812412029308354839,72409.094144710139593502,52768854.40720261517145127294790474
3290069.993024946264312381,30190.534865200798264779,11250699.089735144350748488110022,2020-10-10 00:00:00,8029857.179477239236985134,71099.87053642614936979,52685299.68919234931193990365327989
2736837.783412162191647576,24549.646207008313836901,9144048.627830385606034833487199327,2020-10-11 00:00:00,7871051.406431224184858672,70801.786992340898033408,52775962.57635520981502694130192355
2995080.337165889811968302,27124.717989636409916238,10316132.07143921964263152639636896,2020-10-12 00:00:00,7814636.955994798907047331,69595.345947441472868743,53816023.28913767043516170944147672
1800392.630979201623610814,16020.358874229774651314,6098549.10761029544822994100620684,2020-10-13 00:00:00,7875770.934011421517162987,69382.701158579139747951,52828583.0075688600351612953362396
2807781.357753231421503842,23620.905569785053442577,8917365.353120859501875059658421961,2020-10-14 00:00:00,8040543.121888409740158209,66053.576288718058003505,49831116.38181720854661706966280306
3035895.571574624362927692,24758.582454315759476935,9304900.435867090763825003537361695,2020-10-15 00:00:00,8016503.18340633969020061,65807.339338200651123068,49652872.2367454034945710548142819
