dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserve0,reserve1,reserveUSD,liquidityDepth,priceOfA,ratio,ratioChange,buy,sell,holdA,holdB,HoldAsB,HoldAsA,dailyROIA,dailyROIB,ROIAsB,TotROIA,TotROIB,TotROIAsB,1
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,2
78016781.434856275659229955,620271.857852062945138248,230235457.4306964390720143428758454,2020-09-17 00:00:00,4063488.251671232728384044,36416.374218383038637901,28211560.17098808844234332255614586,147977508804.86264,0.008961850499606022,16511936771470.13,0,0,0,111.58409750798249,1,2.0,111.5930593584821,1,1,1,1,1,1,3
43725117.992875724880005096,646212.876613584467817883,245968364.1387020264951894918816267,2020-09-18 00:00:00,3336947.859207200457092353,59602.366596643948831818,45347547.80992474442529852520587808,198889989618.3538,0.01786134189426754,11135221015067.518,32.56%,0,32.56%,55.98683491529504,1,2.0,56.00469625718931,1.8212027825685921,2.6366914025877017,4.801949719167406,1.8212027825685921,2.6366914025877017,4.801949719167406,4
21549959.948055026787075521,359535.04497816976592556,137215085.2756935071148508737324525,2020-09-19 00:00:00,4705048.946216544310290384,69308.816888183342438544,53088911.27136662570754383315131106,326101375863.26245,0.014730732385667617,22137485586293.414,-98.81%,-98.81%,0,67.88528729046479,1,2.0,67.90001802285046,2.409985754867138,2.162853437636584,5.2124459745695875,4.389072762714701,5.702777064073637,25.02990348375971,5
15831385.652001473089365019,224529.49183893360160496,84117457.83722967297784160594257533,2020-09-20 00:00:00,4871853.868054340899705584,68885.389532333785576446,50835868.97038243582265432740274409,335599551445.5303,0.014139461362753139,23734960111676.04,-7.22%,-7.22%,0,70.72405195251984,1,2.0,70.7381914138826,2.0354523244592233,1.9938907144161373,4.058469489375988,8.933748357088303,11.370714234441747,101.58309961086455,6
12412737.610431125659847144,163512.142813941307421101,57718155.39804646912329750878445,2020-09-21 00:00:00,5442326.763337115343898143,67987.933641747796186786,46383085.96697439608102674283884507,370012550842.47186,0.012492438730389476,29618920598935.45,-24.79%,-24.79%,0,80.04842141569767,1,2.0,80.06091385442807,2.117095649979051,1.9869717526941655,4.206609254260068,18.91359978479914,22.593287991793215,427.32040689948514,7
10830678.252666724850562214,128177.513740853755375798,43652248.05189381179914430624689776,2020-09-22 00:00:00,5675882.380269277119252258,64522.910556611679515223,44195865.32271642568941089093971856,366224451151.96277,0.011367908323983022,32215640794651.23,-8.77%,-8.77%,0,87.96693037102412,1,2.0,87.9782982793481,2.0429146626228945,1.949034734554597,3.9817116371829075,38.63887032334738,44.03510306380026,1701.4666369574152,8
13756812.982982029987591823,185060.899177051601168231,61945209.88093268391156049985057069,2020-09-23 00:00:00,4948080.201292684194765101,67621.084628522481006479,43127658.84842354199615562576492869,334594550040.32916,0.01366612542190737,24483497678424.65,24.00%,0,24.00%,73.17362962269894,1,2.0,73.18729574812085,1.871772857466778,2.048016650910261,3.8334219788138397,72.32318871442023,90.18462429921237,6522.439602331025,9
7458338.603354980517146534,109565.860662856185407512,36480522.95548837264364057633732994,2020-09-24 00:00:00,4771277.285589153044218779,69911.956778999083168845,48810658.41880180488187010855613815,333569331370.72894,0.014652671097141322,22765086935978.996,7.02%,0,7.02%,68.24694237456104,1,2.0,68.26159504565818,1.9642683811678432,2.0338780746132885,3.995082393113414,142.06215281697064,183.42453002940485,26057.683615418333,10
5668178.841475078525100908,83965.756815447708380874,29025601.98131263371139726170955391,2020-09-25 00:00:00,5037011.294129140149690991,70266.664836511887396471,49394123.49690097837798594598119499,353933984382.29724,0.01395007093162781,25371482777184.508,-11.45%,-11.45%,0,71.684223320527,1,2.0,71.69817339145862,2.055694522165499,2.0050736393866657,4.12181889702561,292.03638935288456,367.77968997884756,107405.0527387459,11
